Ranking,User,Model,Results,Mean Reward,Std Reward
363,mikerocke,mikerocke/ppo-LunarLander-v2,273.35,289.16,15.81
364,yeounyi,yeounyi/PPO-LunarLander-v2,273.34000000000003,293.31,19.97
365,Schoolar,Schoolar/ppo-LunarLander-long_training_2kk,273.32,287.04,13.72
366,KevinReuben5,KevinReuben5/ppo-LunarLander-v2,273.32,291.75,18.43
367,agercas,agercas/ppo-LunarLander-v2,273.3,291.38,18.08
368,robertou2,robertou2/TEST2ppo-LunarLander-v2,273.25,286.33,13.08
369,glenn2,glenn2/rocket2,273.18,293.61,20.43
370,PrzemekS,PrzemekS/rl-hgf-course-ppo-LunarLander-v2,273.17,297.38,24.21
371,Jezzarax,Jezzarax/TEST2ppo-LunarLander-v2,273.17,294.19,21.02
372,ucaokylong,ucaokylong/ppo-LunarLander-v2,273.15000000000003,290.23,17.08
373,ArturGadek,ArturGadek/LunarLander-v2,273.13,287.0,13.87
374,ithinkimacet,ithinkimacet/ppo-LunarLander-v2-2ndAttempt,273.11,288.99,15.88
375,0sunfire0,0sunfire0/Moon_landing_01,273.11,291.64,18.53
376,cansian,cansian/ppo-LunarLander-v2,273.06,284.99,11.93
377,David0702,David0702/ppo-LunarLander-v2,273.06,288.47,15.41
378,eldraco,eldraco/ppo-LunarLander-v2,273.05999999999995,294.34,21.28
379,OsnNos,OsnNos/ppo-LunarLander-v2,273.04,286.93,13.89
380,mo-shadfar,mo-shadfar/ppo-LunarLander-v4,272.96,292.4,19.44
381,XGBooster,XGBooster/LunarLanderPPO,272.96,286.59,13.63
382,J3,J3/PPO-LunarLander,272.96,287.45,14.49
383,ScrappyCoco666,ScrappyCoco666/ppo-LunarLander-v2-3,272.93,292.8,19.87
384,wowthecoder,wowthecoder/ppo-LunarLander-v2,272.92999999999995,281.9,8.97
385,pm390,pm390/ppo-LunarLander-v2,272.90000000000003,288.68,15.78
386,earentilt,earentilt/LunarLander-v2,272.88000000000005,286.97,14.09
387,Jojo78,Jojo78/ppo-LunarLander-v2,272.75,291.2,18.45
388,Art-phys,Art-phys/ppo-LunarLander-120M-v2,272.74,294.16,21.42
389,strangetcy,strangetcy/ppo-LunarLander-v2,272.72,289.23,16.51
390,defosk,defosk/ppo-LunarLander-v2,272.71999999999997,294.13,21.41
391,akanametov,akanametov/ppo-LunarLander-v2,272.71999999999997,288.78,16.06
392,MarcosMunoz95,MarcosMunoz95/ppo-LunarLander-v2,272.71,292.46,19.75
393,iliabel,iliabel/ppo-LunarLander-v2,272.69,289.5,16.81
394,Anant58,Anant58/MlpPolicy-LunarLander-v2,272.69,285.39,12.7
395,wpbsball12,wpbsball12/ppo-LunarLander-v2,272.68,285.63,12.95
396,candrews1971,candrews1971/ppo-LunarLander-v2,272.65000000000003,287.79,15.14
397,Gabcsor,Gabcsor/ppo_3-Optuna-LunarLander-v2_2,272.65000000000003,296.17,23.52
398,pkalkman,pkalkman/LunarLander-v2-ppo,272.64000000000004,291.91,19.27
399,mirodil,mirodil/ppo-LunarLander-v2,272.59000000000003,286.47,13.88
400,dapoli,dapoli/ppo-LunarLander-v2,272.58,285.34,12.76
401,H4nan,H4nan/ppo-LunarLander-v2,272.54,292.92,20.38
402,miki030,miki030/ppo-LunarLander-gamma1,272.53999999999996,284.65,12.11
403,luisalcu,luisalcu/RL-lunar_lander,272.53,291.07,18.54
404,YangLeeLee,YangLeeLee/ppo-LunarLander-v2,272.53,284.08,11.55
